sdk_va	sdk_names	verdict	repaired_va	method	confidence	changes_classification	classification_delta	evidence
00410330	App::Property::GetInt32	repaired-contained	0040fe00	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetInt32; containing=0040fe00(off+1328,tail-58,0040fe00..0041036a,FUN_0040fe00); xrefs_to=0; bytes=08ffffff6a006a00689eeb2d058b8d08; prologue=False padding=False; neighbors=0040fe00|00410370
0041dc60	Math::MultiplyVectorScalar	repaired-contained	0041dc10	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=Math::MultiplyVectorScalar; containing=0041dc10(off+80,tail-61,0041dc10..0041dc9d,FUN_0041dc10); xrefs_to=0; bytes=45ecf30f1145f8f30f1045f0f30f1145; prologue=False padding=False; neighbors=0041dc10|0041dca0
0041e8e0	App::Property::GetValueBool	repaired-contained	0041e8b0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueBool; containing=0041e8b0(off+48,tail-61,0041e8b0..0041e91d,FUN_0041e8b0); xrefs_to=0; bytes=55f88955fc837dfc0074118b4508508b; prologue=False padding=False; neighbors=0041e8b0|0041e920
0041e950	App::Property::GetValueInt32	repaired-contained	0041e920	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueInt32; containing=0041e920(off+48,tail-48,0041e920..0041e980,FUN_0041e920); xrefs_to=0; bytes=8b08894dfceb1ceb138b55f80fb74212; prologue=False padding=False; neighbors=0041e920|0041e990
0041e9c0	App::Property::GetValueUInt32	repaired-contained	0041e990	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueUInt32; containing=0041e990(off+48,tail-48,0041e990..0041e9f0,FUN_0041e990); xrefs_to=0; bytes=8b08894dfceb1ceb138b55f80fb74212; prologue=False padding=False; neighbors=0041e990|0041ea00
0041ea30	App::Property::GetValueFloat	repaired-contained	0041ea00	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueFloat; containing=0041ea00(off+48,tail-48,0041ea00..0041ea60,FUN_0041ea00); xrefs_to=0; bytes=8b08894dfceb1ceb138b55f80fb74212; prologue=False padding=False; neighbors=0041ea00|0041ea70
00427a10	App::Property::SetValueString16	repaired-contained	004279d0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueString16; containing=004279d0(off+64,tail-60,004279d0..00427a4c,FUN_004279d0); xrefs_to=0; bytes=0000008b45fc668950128b4dfc0fb751; prologue=False padding=False; neighbors=004279d0|00427a50
00428010	App::Property::SetValueUInt32	repaired-contained	00427fd0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueUInt32; containing=00427fd0(off+64,tail-67,00427fd0..00428053,FUN_00427fd0); xrefs_to=0; bytes=fc8b55088b028901b90a0000008b55fc; prologue=False padding=False; neighbors=00427fd0|00428060
004280a0	App::Property::SetValueFloat	repaired-contained	00428060	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueFloat; containing=00428060(off+64,tail-67,00428060..004280e3,FUN_00428060); xrefs_to=0; bytes=fc8b5508d902d919b80d0000008b4dfc; prologue=False padding=False; neighbors=00428060|004280f0
00436390	Audio::PlayAudio	repaired-contained	00436380	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=Audio::PlayAudio; containing=00436380(off+16,tail-55,00436380..004363c7,FUN_00436380); xrefs_to=0; bytes=4dfc837dfc00741f8b55888b42108945; prologue=False padding=False; neighbors=00436380|004363d0
00436400	Audio::SetProperty	repaired-contained	004363d0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=Audio::SetProperty; containing=004363d0(off+48,tail-156,004363d0..0043649c,FUN_004363d0); xrefs_to=0; bytes=f8837df8000f84810000008b4df4898d; prologue=False padding=False; neighbors=004363d0|004364a0
0043acf0	Editors::EditorRigblock::SetShadedDisplay	repaired-contained	0043ac40	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorRigblock::SetShadedDisplay; containing=0043ac40(off+176,tail-3757,0043ac40..0043bb9d,FUN_0043ac40); xrefs_to=0; bytes=ff8b483c898dc0feffff83bdc0feffff; prologue=False padding=False; neighbors=0043ac40|0043bbc0
004474c0	App::Property::GetValue	repaired-contained	00447150	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValue; containing=00447150(off+880,tail-3772,00447150..0044837c,FUN_00447150); xrefs_to=0; bytes=0fb7511285d2740cc78580feffff0100; prologue=False padding=False; neighbors=00447150|00448380
00453df0	Math::EulerToMatrix	repaired-contained	00453dc0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=Math::EulerToMatrix; containing=00453dc0(off+48,tail-37,00453dc0..00453e15,FUN_00453dc0); xrefs_to=0; bytes=e85ba4050033c083e001740c8b4dfc51; prologue=False padding=False; neighbors=00453dc0|00453e20
00478800	App::Property::SetValueBBox	repaired-contained	004786e0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueBBox; containing=004786e0(off+288,tail-296,004786e0..00478928,FUN_004786e0); xrefs_to=0; bytes=52e8da56fbff83c4108945a4eb07c745; prologue=False padding=False; neighbors=004786e0|00478930
004ad850	Editors::EditorModel::Dispose	repaired-contained	004ad6f0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorModel::Dispose; containing=004ad6f0(off+352,tail-485,004ad6f0..004ada35,FUN_004ad6f0); xrefs_to=0; bytes=f88d1488899554ffffff8b8554ffffff; prologue=False padding=False; neighbors=004ad6f0|004ada40
004ae280	Editors::EditorModel::SetName	repaired-contained	004ae260	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorModel::SetName; containing=004ae260(off+32,tail-289,004ae260..004ae3a1,FUN_004ae260); xrefs_to=0; bytes=02743f8b4de08b118955f0837d0c0074; prologue=False padding=False; neighbors=004ae260|004ae3b0
004ae440	Editors::EditorModel::SetDescription	repaired-contained	004ae3b0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorModel::SetDescription; containing=004ae3b0(off+144,tail-3531,004ae3b0..004af20b,FUN_004ae3b0); xrefs_to=0; bytes=837df0ff7476c745d46ae31c05c745d8; prologue=False padding=False; neighbors=004ae3b0|004af210
004ae520	Editors::EditorModel::GetCreationName	repaired-contained	004ae3b0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorModel::GetCreationName; containing=004ae3b0(off+368,tail-3307,004ae3b0..004af20b,FUN_004ae3b0); xrefs_to=0; bytes=38fdffff8b0233c96689088b9538fdff; prologue=False padding=False; neighbors=004ae3b0|004af210
004ae8d0	Editors::EditorModel::Load	repaired-contained	004ae3b0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorModel::Load; containing=004ae3b0(off+1312,tail-2363,004ae3b0..004af20b,FUN_004ae3b0); xrefs_to=0; bytes=fcffffeb0ac78520fcffff000000008b; prologue=False padding=False; neighbors=004ae3b0|004af210
004af730	App::Property::GetUInt32	repaired-contained	004af260	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetUInt32; containing=004af260(off+1232,tail-1213,004af260..004afbed,FUN_004af260); xrefs_to=0; bytes=f3a58b75c481c6f00000008b7dd083c7; prologue=False padding=False; neighbors=004af260|004afbf0
004af780	Editors::EditorModel::Save	repaired-contained	004af260	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorModel::Save; containing=004af260(off+1312,tail-1133,004af260..004afbed,FUN_004af260); xrefs_to=0; bytes=4908894a088b55d08b45c48b88cc0100; prologue=False padding=False; neighbors=004af260|004afbf0
004b62f0	App::Property::SetValueString8	repaired-contained	004b62a0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueString8; containing=004b62a0(off+80,tail-71,004b62a0..004b6337,FUN_004b62a0); xrefs_to=0; bytes=8b4de48b510489108b45e48b0881c100; prologue=False padding=False; neighbors=004b62a0|004b6340
004bc5b0	App::cPropManager::CreateResourceAsync	repaired-contained	004bc540	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->ENGINE_INTERFACE|P3|CONFIRMED	sdk=App::cPropManager::CreateResourceAsync; containing=004bc540(off+112,tail-107,004bc540..004bc61b,FUN_004bc540); xrefs_to=0; bytes=65817d14e4a8973d742d817d14468c97; prologue=False padding=False; neighbors=004bc540|004bc620
004bf970	Editors::cCreatureDataResource::Read	repaired-contained	004bf770	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cCreatureDataResource::Read; containing=004bf770(off+512,tail-116,004bf770..004bf9e4,FUN_004bf770); xrefs_to=0; bytes=8b55c0528b45088b108b4d088b4238ff; prologue=False padding=False; neighbors=004bf770|004bf9f0
004bfcb0	Editors::cCreatureDataResource::Write	repaired-contained	004bfc40	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cCreatureDataResource::Write; containing=004bfc40(off+112,tail-872,004bfc40..004c0018,FUN_004bfc40); xrefs_to=0; bytes=0300008b4dcc8b118b420c8945f4c745; prologue=False padding=False; neighbors=004bfc40|004c0020
004c4a50	Editors::cEditorSkin::GetMesh	repaired-contained	004c4a30	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cEditorSkin::GetMesh; containing=004c4a30(off+32,tail-725,004c4a30..004c4d25,FUN_004c4a30); xrefs_to=0; bytes=1f83bd70ffffff010f84a500000083bd; prologue=False padding=False; neighbors=004c4a30|004c4d30
004c5270	Editors::cEditorSkin::PaintSkin	repaired-contained	004c5200	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cEditorSkin::PaintSkin; containing=004c5200(off+112,tail-1593,004c5200..004c58a9,FUN_004c5200); xrefs_to=0; bytes=c25c8955ac8b45ac833800743e8b4dac; prologue=False padding=False; neighbors=004c5200|004c58b0
004c5920	Editors::cEditorSkin::IsPainting	repaired-contained	004c5910	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cEditorSkin::IsPainting; containing=004c5910(off+16,tail-90,004c5910..004c597a,FUN_004c5910); xrefs_to=0; bytes=45ec8b4870894dfc8b55088b45fc8902; prologue=False padding=False; neighbors=004c5910|004c5980
004c7460	Editors::cEditorSkinMeshBase::FromRigblocks	repaired-contained	004c73f0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cEditorSkinMeshBase::FromRigblocks; containing=004c73f0(off+112,tail-12229,004c73f0..004ca425,FUN_004c73f0); xrefs_to=0; bytes=2430190000000f85cb0000006a006a00; prologue=False padding=False; neighbors=004c73f0|004ca430
004d3d30	Simulator::cCreatureAbility::GetAnimationID	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Simulator::cCreatureAbility::GetAnimationID; containing=004d3d20(off+16,tail-3,004d3d20..004d3d33,FUN_004d3d20); xrefs_to=0; bytes=8be55dc3cccccccccccccccccccccccc; prologue=False padding=False; neighbors=004d3d20|004d3d40
004d9310	Simulator::cCreatureAbility::Parse	repaired-contained	004d92b0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cCreatureAbility::Parse; containing=004d92b0(off+96,tail-4030,004d92b0..004da2ce,FUN_004d92b0); xrefs_to=0; bytes=8b4d0c51e847801c0083c40cc745f400; prologue=False padding=False; neighbors=004d92b0|004da330
004da390	Simulator::cSpeciesProfile::GetSpeciesName	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Simulator::cSpeciesProfile::GetSpeciesName; containing=004da330(off+96,tail-8,004da330..004da398,FUN_004da330); xrefs_to=0; bytes=83c40c8be55dc20400cccccccccccccc; prologue=False padding=False; neighbors=004da330|004da3a0
004df5c0	Editors::cSpeciesManager::GetSpeciesProfile	repaired-contained	004df550	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::cSpeciesManager::GetSpeciesProfile; containing=004df550(off+112,tail-260,004df550..004df6c4,FUN_004df550); xrefs_to=0; bytes=ffffff81c2a40000008b028945f08b4a; prologue=False padding=False; neighbors=004df550|004df6d0
00506630	Skinner::cSkinPainter::CreateTextures	repaired-contained	00506590	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainter::CreateTextures; containing=00506590(off+160,tail-150,00506590..005066c6,FUN_00506590); xrefs_to=0; bytes=6a64e8690da40083c4188945f4837df4; prologue=False padding=False; neighbors=00506590|005066d0
005171b0	Skinner::cSkinPainterJob::DrawLayer	repaired-contained	00517160	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Skinner::cSkinPainterJob::DrawLayer; containing=00517160(off+80,tail-141,00517160..0051723d,FUN_00517160); xrefs_to=0; bytes=d91bc983e10383c101894df8c745f400; prologue=False padding=False; neighbors=00517160|00517240
00518310	Skinner::cSkinPainterJobApplyBrushes::Execute	repaired-contained	005182f0	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Skinner::cSkinPainterJobApplyBrushes::Execute; containing=005182f0(off+32,tail-160,005182f0..005183b0,FUN_005182f0); xrefs_to=0; bytes=c885c9743cc745fc00000000eb098b55; prologue=False padding=False; neighbors=005182f0|005183c0
005183e0	Skinner::cSkinPainterJobColorDilateRepeat::Execute	repaired-contained	005183c0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterJobColorDilateRepeat::Execute; containing=005183c0(off+32,tail-1812,005183c0..00518af4,FUN_005183c0); xrefs_to=0; bytes=78534801f30f1145f8f30f1005785348; prologue=False padding=False; neighbors=005183c0|00518b00
00518c10	Skinner::cSkinPainterJobCopyTex1AlphaToTex0::Execute	repaired-contained	00518bf0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterJobCopyTex1AlphaToTex0::Execute; containing=00518bf0(off+32,tail-212,00518bf0..00518ce4,FUN_00518bf0); xrefs_to=0; bytes=8945f8e86884eeff8945dc8b4ddc8b51; prologue=False padding=False; neighbors=00518bf0|00518cf0
00518d10	Skinner::cSkinPainterJobBumpToNormal::Execute	repaired-contained	00518cf0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterJobBumpToNormal::Execute; containing=00518cf0(off+32,tail-495,00518cf0..00518eff,FUN_00518cf0); xrefs_to=0; bytes=8b4db0e8f8991800d95de0f30f1045e0; prologue=False padding=False; neighbors=00518cf0|00518f10
00518f20	Skinner::cSkinPainterJobAmbientOcclusion::Execute	repaired-contained	00518f10	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterJobAmbientOcclusion::Execute; containing=00518f10(off+16,tail-1815,00518f10..00519637,FUN_00518f10); xrefs_to=0; bytes=010000e85881eeff898424080100008b; prologue=False padding=False; neighbors=00518f10|00519640
00519650	Skinner::cSkinPainterJobPaintParts::Execute	repaired-contained	00519640	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterJobPaintParts::Execute; containing=00519640(off+16,tail-3314,00519640..0051a342,FUN_00519640); xrefs_to=0; bytes=2c7aeeff89851cffffff8b851cffffff; prologue=False padding=False; neighbors=00519640|0051a350
0051a360	Skinner::cSkinPainterJobCopyRigblocksTintMaskAlpha::Execute	repaired-contained	0051a350	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterJobCopyRigblocksTintMaskAlpha::Execute; containing=0051a350(off+16,tail-817,0051a350..0051a691,FUN_0051a350); xrefs_to=0; bytes=1c6deeff8945b08b45b08b480c894dac; prologue=False padding=False; neighbors=0051a350|0051a6a0
0051a9b0	Skinner::cSkinPainterPipeline::Initialize	repaired-contained	0051a9a0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterPipeline::Initialize; containing=0051a9a0(off+16,tail-239,0051a9a0..0051aa9f,FUN_0051a9a0); xrefs_to=0; bytes=0000000000008b4dcc83c108894dd88b; prologue=False padding=False; neighbors=0051a9a0|0051aaa0
0051ab60	Skinner::cSkinPainterPipeline::PreloadTextures	repaired-contained	0051ab50	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterPipeline::PreloadTextures; containing=0051ab50(off+16,tail-1122,0051ab50..0051afc2,FUN_0051ab50); xrefs_to=0; bytes=1c65eeff8945a88b45a88b480c894da4; prologue=False padding=False; neighbors=0051ab50|0051afd0
0051afe0	Skinner::cSkinPainterPipeline::ExecutePipeline	repaired-contained	0051afd0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Skinner::cSkinPainterPipeline::ExecutePipeline; containing=0051afd0(off+16,tail-5193,0051afd0..0051c429,FUN_0051afd0); xrefs_to=0; bytes=9c60eeff8945fc8b8534feffff8b8844; prologue=False padding=False; neighbors=0051afd0|0051c470
00530280	IO::ReadCString	repaired-contained	005300d0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=IO::ReadCString; containing=005300d0(off+432,tail-33,005300d0..005302a1,FUN_005300d0); xrefs_to=0; bytes=51e8faa4400083c410eba68b551083c2; prologue=False padding=False; neighbors=005300d0|005302b0
005a2030	Editors::EditorCamera::Cast	repaired-contained	005a2010	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorCamera::Cast; containing=005a2010(off+32,tail-18,005a2010..005a2042,FUN_005a2010); xrefs_to=0; bytes=88000000740989417489517889717c5e; prologue=False padding=False; neighbors=005a2010|005a2050
005a2060	Editors::EditorCamera::OnKeyDown	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Editors::EditorCamera::OnKeyDown; containing=005a2050(off+16,tail-2,005a2050..005a2062,Editors::EditorCamera::func24h); xrefs_to=0; bytes=c20400cccccccccccccccccccccccccc; prologue=False padding=False; neighbors=005a2050|005a2200
005a2100	Editors::EditorCamera::OnKeyUp	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Editors::EditorCamera::OnKeyUp; containing=NONE(No function found for 0x005a2100); xrefs_to=0; bytes=01010101010101010101010101010101; prologue=False padding=False; neighbors=005a2050|005a2200
005a21a0	Editors::EditorCamera::OnMouseUp	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Editors::EditorCamera::OnMouseUp; containing=NONE(No function found for 0x005a21a0); xrefs_to=0; bytes=01010101010101010101010101010101; prologue=False padding=False; neighbors=005a2050|005a2200
005a22f0	Editors::EditorCamera::OnEnter	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Editors::EditorCamera::OnEnter; containing=005a22d0(off+32,tail-3,005a22d0..005a22f3,FUN_005a22d0); xrefs_to=0; bytes=d95954c3cccccccccccccccccccccccc; prologue=False padding=False; neighbors=005a22d0|005a2300
005a2560	Editors::EditorCamera::OnMouseWheel	repaired-contained	005a24c0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Editors::EditorCamera::OnMouseWheel; containing=005a24c0(off+160,tail-27,005a24c0..005a257b,FUN_005a24c0); xrefs_to=0; bytes=3074098b08d901d95e405ec30fb7c9f7; prologue=False padding=False; neighbors=005a24c0|005a2600
005a25e0	Editors::EditorCamera::Initialize	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Editors::EditorCamera::Initialize; containing=NONE(No function found for 0x005a25e0); xrefs_to=0; bytes=7605f30f114e385fc6869c0000000132; prologue=False padding=False; neighbors=005a24c0|005a2600
005a2f00	Editors::EditorCamera::OnMouseDown	repaired-contained	005a2ed0	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Editors::EditorCamera::OnMouseDown; containing=005a2ed0(off+48,tail-30,005a2ed0..005a2f1e,FUN_005a2ed0); xrefs_to=0; bytes=01c7460494b33e01c70638b93e017409; prologue=False padding=False; neighbors=005a2ed0|005a3080
005a2f70	Editors::EditorCamera::OnMouseMove	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Editors::EditorCamera::OnMouseMove; containing=NONE(No function found for 0x005a2f70); xrefs_to=0; bytes=01f30f114624b0015ec21000cccccccc; prologue=False padding=False; neighbors=005a2ed0|005a3080
005a3e00	Editors::EditorCamera::Update	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Editors::EditorCamera::Update; containing=005a33c0(off+2624,tail-13,005a33c0..005a3e0d,FUN_005a33c0); xrefs_to=0; bytes=385f5e5b5d81c4b0020000c20800cccc; prologue=False padding=False; neighbors=005a33c0|005a41e0
005a41f0	Palettes::ColorPickerUI::SetVisible	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorPickerUI::SetVisible; containing=005a41e0(off+16,tail-6,005a41e0..005a41f6,FUN_005a41e0); xrefs_to=0; bytes=83e001c332c0c3cccccccccccccccccc; prologue=False padding=False; neighbors=005a41e0|005a4200
005a44f0	Palettes::ColorSwatchUI::SetArea	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::SetArea; containing=005a4250(off+672,tail-6,005a4250..005a44f6,FUN_005a4250); xrefs_to=0; bytes=5e83c42cc21800cccccccccccccccccc; prologue=False padding=False; neighbors=005a4250|005a4500
005a4620	Palettes::ColorSwatchUI::Hide	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::Hide; containing=005a45d0(off+80,tail-0,005a45d0..005a4620,FUN_005a45d0); xrefs_to=0; bytes=00cccccccccccccccccccccccccccccc; prologue=False padding=False; neighbors=005a45d0|005a4630
005a4670	Palettes::ColorSwatchUI::AddTooltip	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::AddTooltip; containing=005a4630(off+64,tail-11,005a4630..005a467b,FUN_005a4630); xrefs_to=0; bytes=7c536a01ffd2885e0f5e5bc3cccccccc; prologue=False padding=False; neighbors=005a4630|005a4680
005a4740	Palettes::ColorPickerUI::GetSwatchArea	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorPickerUI::GetSwatchArea; containing=005a4680(off+192,tail-15,005a4680..005a474f,FUN_005a4680); xrefs_to=0; bytes=2414e8f90a11005f5e5b83c41cc20400; prologue=False padding=False; neighbors=005a4680|005a4750
005a4980	Palettes::ColorSwatchUI::GenerateExpansionArea	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::GenerateExpansionArea; containing=005a4970(off+16,tail-9,005a4970..005a4989,FUN_005a4970); xrefs_to=0; bytes=a56cb203ffd0c333c0c3cccccccccccc; prologue=False padding=False; neighbors=005a4970|005a4990
005a4e10	Palettes::ColorPickerUI::SetColor	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorPickerUI::SetColor; containing=005a4b80(off+656,tail-11,005a4b80..005a4e1b,FUN_005a4b80); xrefs_to=0; bytes=0ce8eaf6ffff5f5e83c428c3cccccccc; prologue=False padding=False; neighbors=005a4b80|005a4e20
005a51b0	Palettes::ColorSwatchUI::Load	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::Load; containing=005a51a0(off+16,tail-13,005a51a0..005a51bd,FUN_005a51a0); xrefs_to=0; bytes=e8cb219a0083c4048bc65ec20400cccc; prologue=False padding=False; neighbors=005a51a0|005a51c0
005a5b60	Palettes::ColorSwatchUI::HandleUIMessage	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::HandleUIMessage; containing=005a5b10(off+80,tail-6,005a5b10..005a5b66,FUN_005a5b10); xrefs_to=0; bytes=048bc65ec20400cccccccccccccccccc; prologue=False padding=False; neighbors=005a5b10|005a5b70
005a5da0	Palettes::ColorSwatchUI::Destroy	adjudicated-tail-alias	NULL	tail-bytes-no-callers	medium	False	no-triage-row-affected	sdk=Palettes::ColorSwatchUI::Destroy; containing=005a5b70(off+560,tail-4,005a5b70..005a5da4,FUN_005a5b70); xrefs_to=0; bytes=c05bc20800cccccccccccccccccccccc; prologue=False padding=False; neighbors=005a5b70|005a5db0
