sdk_va	sdk_names	verdict	repaired_va	method	confidence	changes_classification	classification_delta	evidence
01054060	Simulator::cGetOutOfUFOToolStrategy::WhileAiming	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cGetOutOfUFOToolStrategy::WhileAiming; containing=NONE(No function found for 0x01054060); xrefs_to=0; bytes=ec8cffff5e84c0740ce85293aeff8bc8; prologue=False padding=False; neighbors=01053f20|01054080
010540c0	Simulator::cPlaceColonyToolStrategy::OnSelect	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cPlaceColonyToolStrategy::OnSelect; containing=NONE(No function found for 0x010540c0); xrefs_to=0; bytes=bcf8ffff84c00f95c0c20c00cccccccc; prologue=False padding=False; neighbors=01054080|010543e0
010541a0	Simulator::cPlaceColonyToolStrategy::OnDeselect	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cPlaceColonyToolStrategy::OnDeselect; containing=NONE(No function found for 0x010541a0); xrefs_to=0; bytes=01e86a79b9ffe8c5cbadff8b108bc88b; prologue=False padding=False; neighbors=01054080|010543e0
01054250	Simulator::cPlaceObjectToolStrategy::OnDeselect	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cPlaceObjectToolStrategy::OnDeselect; containing=NONE(No function found for 0x01054250); xrefs_to=0; bytes=ffd08bf885ff74158b178b028bcfffd0; prologue=False padding=False; neighbors=01054080|010543e0
01054300	Simulator::cPlaceObjectToolStrategy::SelectedUpdate	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cPlaceObjectToolStrategy::SelectedUpdate; containing=NONE(No function found for 0x01054300); xrefs_to=0; bytes=f085f674158b168b028bceffd056e8ed; prologue=False padding=False; neighbors=01054080|010543e0
01054390	Simulator::LaunchDefaultToolProjectile	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::LaunchDefaultToolProjectile; containing=NONE(No function found for 0x01054390); xrefs_to=0; bytes=10568bc88b82b80000006823004502ff; prologue=False padding=False; neighbors=01054080|010543e0
01054e70	Simulator::cDefaultBeamTool::func48h	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDefaultBeamTool::func48h; containing=NONE(No function found for 0x01054e70); xrefs_to=0; bytes=4004d8ba4901c2080033c0c20800cccc; prologue=False padding=False; neighbors=010543e0|01055040
01054ff0	Simulator::cDefaultAoETool::func48h	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDefaultAoETool::func48h; containing=NONE(No function found for 0x01054ff0); xrefs_to=0; bytes=00003bf3741b8b168b028bceffd089b7; prologue=False padding=False; neighbors=010543e0|01055040
010550e0	Simulator::cAbductToolStrategy::OnMouseUp	repaired-contained	01055040	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cAbductToolStrategy::OnMouseUp; containing=01055040(off+160,tail-73,01055040..01055129,FUN_01055040); xrefs_to=0; bytes=ffd08bcee8a70fc6ff8bbb200100005d; prologue=False padding=False; neighbors=01055040|01055130
01055160	Simulator::cDragInputProjectileToolStrategy::OnMouseDown	repaired-contained	01055130	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cDragInputProjectileToolStrategy::OnMouseDown; containing=01055130(off+48,tail-71,01055130..010551a7,FUN_01055130); xrefs_to=0; bytes=ff8b8e2401000085c97420e800ebc5ff; prologue=False padding=False; neighbors=01055130|01055790
01055470	Simulator::cDragInputProjectileToolStrategy::ProcessCost	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDragInputProjectileToolStrategy::ProcessCost; containing=NONE(No function found for 0x01055470); xrefs_to=0; bytes=894424408b44242857894c2448895424; prologue=False padding=False; neighbors=01055130|01055790
01055740	Simulator::cDeepSpaceProjectileToolStrategy::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDeepSpaceProjectileToolStrategy::WhileFiring; containing=NONE(No function found for 0x01055740); xrefs_to=0; bytes=018945008b0d181b6e01894d048b151c; prologue=False padding=False; neighbors=01055130|01055790
01056130	Simulator::cToolStrategy::Update	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cToolStrategy::Update; containing=NONE(No function found for 0x01056130); xrefs_to=0; bytes=6c12efff83c41885c0741ec7400458c4; prologue=False padding=False; neighbors=01055890|01056160
01056880	Simulator::cToolStrategy::WhileFiring	repaired-contained	01056160	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cToolStrategy::WhileFiring; containing=01056160(off+1824,tail-38,01056160..010568a6,FUN_01056160); xrefs_to=0; bytes=000074128bcfe8f554ffff3d3d3f3e29; prologue=False padding=False; neighbors=01056160|010568b0
01056b20	Simulator::cDefaultAoETool::WhileFiring	repaired-contained	010568b0	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cDefaultAoETool::WhileFiring; containing=010568b0(off+624,tail-33,010568b0..01056b41,FUN_010568b0); xrefs_to=0; bytes=0884c074128b45006a0050e8e069aeff; prologue=False padding=False; neighbors=010568b0|01056d30
01056b80	Simulator::cDropCargoToolStrategy::Update	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDropCargoToolStrategy::Update; containing=NONE(No function found for 0x01056b80); xrefs_to=0; bytes=d4943f01ffd085c0741483be20010000; prologue=False padding=False; neighbors=010568b0|01056d30
01056bc0	Simulator::cEnergyRepairToolStrategy::Update	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cEnergyRepairToolStrategy::Update; containing=NONE(No function found for 0x01056bc0); xrefs_to=0; bytes=9cf5ffff84c07422e803c0faff8bc8e8; prologue=False padding=False; neighbors=010568b0|01056d30
01056c40	Simulator::cRepairToolStrategy::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cRepairToolStrategy::WhileFiring; containing=NONE(No function found for 0x01056c40); xrefs_to=0; bytes=075fb0015ec20c0085ff74106a13e83d; prologue=False padding=False; neighbors=010568b0|01056d30
01056c80	Simulator::cRepairToolStrategy::Update	repaired-prologue-recoverable	01056c80	prologue-at-va(strength2)	medium	True	adds-row;hypothetical:adds-row-or-live-only (no v4 triage row at 01056c80)	sdk=Simulator::cRepairToolStrategy::Update; containing=NONE(No function found for 0x01056c80); xrefs_to=0; bytes=57538bf1e827fcffff84c074178b168b; prologue=True padding=False; neighbors=010568b0|01056d30
01056d00	Simulator::cGetOutOfUFOToolStrategy::Update	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cGetOutOfUFOToolStrategy::Update; containing=NONE(No function found for 0x01056d00); xrefs_to=0; bytes=d876075fb0015ec20c0085ff74106a14; prologue=False padding=False; neighbors=010568b0|01056d30
01056f10	Simulator::cDefaultProjectileWeapon::WhileFiring	repaired-contained	01056d30	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cDefaultProjectileWeapon::WhileFiring; containing=01056d30(off+480,tail-32,01056d30..01056f30,FUN_01056d30); xrefs_to=0; bytes=108bc88b4250ffd084c07409803d3d74; prologue=False padding=False; neighbors=01056d30|01057bd0
010571e0	Simulator::cTurretDefenseMissileWeapon::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cTurretDefenseMissileWeapon::WhileFiring; containing=NONE(No function found for 0x010571e0); xrefs_to=0; bytes=4c24145f85c974198b018b5004ffd25e; prologue=False padding=False; neighbors=01056d30|01057bd0
